block_type	cat	stim	trial_type	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	time_start	time_fix	time_stimulus_show	time_response	time_extend_incorrect	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time	sequence_report
practice	practice	practice	go	1	525.315	32	keydown	go_down	NA	NA	NA	0	0	0	11978.39	12752.825	13717.975	14259.755	NA	14305.53	NA	0	14305.82	6594126	115159	6594128	0	
practice	practice	practice	go	1	460.395	32	keydown	go_down	NA	NA	NA	0	1	0	14307.965	15050.265	15615.855	16092.895	NA	16148.935	NA	1	16149.045	6594126	115159	6594128	1843.225	
practice	practice	practice	go	1	407.675	32	keydown	go_down	NA	NA	NA	0	2	0	16151.685	16915.31	17747.875	18172.21	NA	18220.245	NA	2	18220.315	6594126	115159	6594129	3914.495	
practice	practice	practice	go	1	339.145	32	keydown	go_down	NA	NA	NA	0	3	0	18221.59	18796.96	19579.905	19935.9	NA	19991.575	NA	3	19991.65	6594126	115159	6594129	5685.83	
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	4	0	19993.16	20662.03	21277.95	22277.215	NA	23276.485	NA	4	23276.615	6594126	115159	6594130	8970.795	
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	5	0	23277.825	23875.92	24475.32	25474.485	NA	26473.575	NA	5	26473.66	6594126	115159	6594131	12167.84	
practice	practice	practice	go	1	370.21	32	keydown	go_down	NA	NA	NA	0	6	0	26474.86	27322.77	27938.955	28325.79	NA	28379.17	NA	6	28379.245	6594126	115159	6594131	14073.425	
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	7	0	28381.125	29004.705	29754.4	30753.175	NA	31752.265	NA	7	31752.345	6594126	115159	6594132	17446.525	
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	8	0	31753.625	32717.99	33600.725	34599.8	NA	35598.99	NA	8	35599.07	6594126	115159	6594133	21293.25	
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	9	0	35600.305	36281.71	36997.705	37996.89	NA	38995.935	NA	9	38996.02	6594126	115159	6594134	24690.2	
train	test	baisha_p_8_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	0	0	41129.585	42076.6	42959.5	44058.215	NA	45057.28	NA	10	45057.375	6594126	115159	6594136	30751.555	
train	control	yunyan_p_1_control	go	1	517.83	32	keydown	go_down	NA	NA	NA	1	1	0	45058.64	45923.12	46689.31	47318.13	NA	47383.875	NA	11	47383.95	6594126	115159	6594136	33078.13	
train	control	nobrand_a_4_control	go	2	null	NA	NA	NA	NA	NA	NA	1	2	0	47385.84	48237.91	49137.1	50219.455	NA	51318.96	NA	12	51319.055	6594126	115159	6594137	37013.235	
train	control	nobrand_a_4_control	go	2	null	NA	NA	NA	NA	NA	NA	1	2	1	51319.07	52167.795	52817.27	53816.355	NA	54832.425	NA	13	54832.5	6594126	115159	6594138	40526.68	
train	control	nobrand_a_4_control	go	1	455.055	32	keydown	go_down	NA	NA	NA	1	2	2	54832.51	55348.38	55847.935	56320.12	NA	56373.5	NA	14	56373.575	6594126	115159	6594138	42067.755	
train	control	yunyan_p_1_control	go	1	689.56	32	keydown	go_down	NA	NA	NA	1	3	0	56374.87	57263.37	58046.01	58752.195	NA	58815.49	NA	15	58815.565	6594126	115159	6594139	44509.745	
train	test	baisha_a_7_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	4	0	58817.005	59827.785	60744.025	61842.68	NA	62841.76	NA	16	62841.86	6594126	115159	6594140	48536.04	
train	test	yunyan_a_9_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	5	0	62843.195	63424.57	64024.17	65123.165	NA	66122.435	NA	17	66122.52	6594126	115159	6594141	51816.7	
train	control	baisha_a_1_control	go	1	613.205	32	keydown	go_down	NA	NA	NA	1	6	0	66123.855	66721.685	67221.38	67949.44	NA	68013.945	NA	18	68014.025	6594126	115159	6594141	53708.205	
train	control	liqun_a_2_control	go	1	491.345	32	keydown	go_down	NA	NA	NA	1	7	0	68015.905	68536.88	69519.32	70128.69	NA	70199.725	NA	19	70199.805	6594126	115159	6594142	55893.985	
train	test	nobrand_p_3_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	8	0	70201.175	71184.7	72100.11	73199.425	NA	74198.55	NA	20	74198.635	6594126	115159	6594143	59892.815	
train	test	nobrand_p_3_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	9	0	74199.99	74831.265	75713.945	76713.1	NA	77712.245	NA	21	77712.33	6594126	115159	6594144	63406.51	
train	control	liqun_a_2_control	go	1	468.135	32	keydown	go_down	NA	NA	NA	1	10	0	77714.52	78511.435	79493.91	79978.69	NA	80043.245	NA	22	80043.325	6594126	115159	6594144	65737.505	
train	test	baisha_a_7_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	11	0	80044.605	80826.135	81792.45	82791.07	NA	83790.19	NA	23	83790.28	6594126	115159	6594145	69484.46	
train	control	liqun_a_2_control	go	1	523.215	32	keydown	go_down	NA	NA	NA	1	12	0	83792.085	84489.53	85455.45	85995.33	NA	86054.94	NA	24	86055.02	6594126	115159	6594146	71749.2	
train	test	yunyan_p_1_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	13	0	86056.31	87054.055	87936.445	89035.59	NA	90034.73	NA	25	90034.83	6594126	115159	6594147	75729.01	
train	test	nobrand_a_4_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	14	0	90036.13	90634.31	91533.475	92632.465	NA	93631.57	NA	26	93631.65	6594126	115159	6594148	79325.83	
train	control	baisha_p_8_control	go	1	509.07	32	keydown	go_down	NA	NA	NA	1	15	0	93632.94	94214.345	95213.585	95841.775	NA	95915.71	NA	27	95915.78	6594126	115159	6594148	81609.96	
train	control	yunyan_a_9_control	go	1	536.935	32	keydown	go_down	NA	NA	NA	1	16	0	95917.115	96828.835	97511.7	98176.615	NA	98244.59	NA	28	98244.67	6594126	115159	6594149	83938.85	
train	control	liqun_p_1_control	go	1	444.245	32	keydown	go_down	NA	NA	NA	1	17	0	98246.515	99210.2	99809.535	100358.5	NA	100414.435	NA	29	100414.505	6594126	115159	6594149	86108.685	
train	control	baisha_a_1_control	go	1	438.115	32	keydown	go_down	NA	NA	NA	1	18	0	100416.425	101075.24	101874.03	102328.78	NA	102380.675	NA	30	102380.75	6594126	115159	6594150	88074.93	
train	test	baisha_p_8_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	19	0	102381.915	103273.19	103823.035	104821.825	NA	105820.99	NA	31	105821.08	6594126	115159	6594151	91515.26	
train	test	liqun_p_1_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	20	0	105822.195	106437.13	107219.73	108318.73	NA	109317.83	NA	32	109317.925	6594126	115159	6594152	95012.105	
train	test	baisha_p_8_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	21	0	109319.14	109833.995	110566.87	111565.895	NA	112565.11	NA	33	112565.2	6594126	115159	6594152	98259.38	
train	test	liqun_a_2_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	22	0	112566.93	113197.895	113714.055	114813.135	NA	115812.215	NA	34	115812.305	6594126	115159	6594153	101506.485	
train	control	yunyan_a_9_control	go	1	732.265	32	keydown	go_down	NA	NA	NA	1	23	0	115813.525	116594.83	117494.05	118243.01	NA	118295.18	NA	35	118295.255	6594126	115159	6594154	103989.435	
train	test	baisha_a_7_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	24	0	118296.44	119259.22	120058.57	121057.5	NA	122056.89	NA	36	122056.98	6594126	115159	6594155	107751.16	
